mode,latency,speedup,vbench,quality,semantic
Baseline,1010.6s,1.00x,79.9214,80.1345,79.0692
EasyCache 0.025,1010.9s,1.00x,79.9214,80.1345,79.0692
EasyCache 0.05,627.6s,1.61x,79.1934,79.5921,77.5987
EasyCache 0.075,492.7s,2.05x,79.2763,79.3767,78.8748
EasyCache 0.10,436.1s,2.32x,76.8051,77.0365,75.8795
EasyCache 0.125,371.8s,2.72x,74.6664,78.6487,58.7372
EasyCache 0.15,334.1s,3.03x,74.0819,78.2868,57.2625
EasyCache 0.20,294.4s,3.43x,72.5668,77.7725,51.7441
Adapt-v2 (0.10/0.075) f9/l6,444.9s,2.27x,76.2229,79.0355,64.9725
Adapt-v2 (0.125/0.075) f9/l6,396.3s,2.55x,75.4820,78.8008,62.2069
Adapt-v2 (0.10/0.075) f13/l8,456.4s,2.21x,75.8494,79.0403,63.0856
Adapt-v2 (0.125/0.075) f13/l8,422.2s,2.39x,75.9706,78.7201,64.9726
Adapt-v2 (0.15/0.075) f9/l6,371.2s,2.72x,74.5588,78.1736,60.0995
Adapt-v2 (0.15/0.075) f13/l8,395.3s,2.56x,75.7190,78.4953,64.6140
Adapt-v2 (0.20/0.075) f9/l6,356.3s,2.84x,73.6718,77.8076,57.1287
Adapt-v2 (0.20/0.075) f13/l8,381.0s,2.65x,73.7041,78.0826,56.1900
